entreprise,localite,telephone,email,categorie,signal_alerte,source_url,requete
SNCF RESEAU,Saint-Denis,,,Grand compte (GE) — cible transformation digitale,"Grand compte (GE) (transport / logistique, 10 000 salariés et plus) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Marie-Christine Aulagnon (Badouard). ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/412280737,api-entreprises:GE:transport / logistique
COMPASS GROUP FRANCE,Malakoff,,,Grand compte (GE) — cible transformation digitale,"Grand compte (GE) (hôtellerie / restauration, 10 000 salariés et plus) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Gino Balderacchi. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/632041042,api-entreprises:GE:hôtellerie / restauration
HUMAN IMMOBILIER (HUMAN IMMOBILIER - REGARD NEUF),Bordeaux,,,ETI (taille intermédiaire) — cible transformation digitale,"ETI (taille intermédiaire) (immobilier, 1 000 à 1 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Groupe Human. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/414854216,api-entreprises:GE:immobilier
APF FRANCE HANDICAP (APF),Paris,,,Grand compte (GE) — cible transformation digitale,"Grand compte (GE) (santé / médico-social, 10 000 salariés et plus) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/775688732,api-entreprises:GE:santé / médico-social
"ADECCO FRANCE (ADECCO FRANCE, LHH RECRUITMENT SOLUTIONS, AKKODIS TALENT, QAPA)",Villeurbanne,,,Grand compte (GE) — cible transformation digitale,"Grand compte (GE) (services aux entreprises, 2 000 à 4 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Gerald Jasmin. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/998823504,api-entreprises:GE:services aux entreprises
ACTION FRANCE,Paris,,,Grand compte (GE) — cible transformation digitale,"Grand compte (GE) (commerce / distribution, 10 000 salariés et plus) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Wouter De Backer. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/753308238,api-entreprises:GE:commerce / distribution
CREDIT LYONNAIS (LCL),Lyon,,,Grand compte (GE) — cible transformation digitale,"Grand compte (GE) (banque / assurance, 10 000 salariés et plus) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Franck Alexandre. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/954509741,api-entreprises:GE:banque / assurance
TOTALENERGIES CHARGING SERVICES,Puteaux,,,Grand compte (GE) — cible transformation digitale,"Grand compte (GE) (industrie manufacturière, grand effectif) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Marin Baron De Montbel. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/844192443,api-entreprises:GE:industrie manufacturière
SNCF VOYAGEURS,Saint-Denis,,,Grand compte (GE) — cible transformation digitale,"Grand compte (GE) (transport / logistique, 10 000 salariés et plus) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Jacques Damas. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/519037584,api-entreprises:GE:transport / logistique
API RESTAURATION,Mons-En-Barœul,,,Grand compte (GE) — cible transformation digitale,"Grand compte (GE) (hôtellerie / restauration, 5 000 à 9 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Beatrice Debosque. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/477181010,api-entreprises:GE:hôtellerie / restauration
FONCIA TRANSACTION FRANCE,Courbevoie,,,Grand compte (GE) — cible transformation digitale,"Grand compte (GE) (immobilier, 1 000 à 1 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Jordane Frarier. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/503698664,api-entreprises:GE:immobilier
COALLIA,Paris 12,,,ETI (taille intermédiaire) — cible transformation digitale,"ETI (taille intermédiaire) (santé / médico-social, 2 000 à 4 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Didier Arias. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/775680309,api-entreprises:GE:santé / médico-social
RANDSTAD (RANDSTAD INHOUSE),Saint-Denis,,,Grand compte (GE) — cible transformation digitale,"Grand compte (GE) (services aux entreprises, 2 000 à 4 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Pricewaterhousecoopers Audit. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/433999356,api-entreprises:GE:services aux entreprises
"LAGARDERE TRAVEL RETAIL FRANCE (COFEC - RELAY, RELAY STORE, RELAY SHOP, RELAY WEB, RELAY INTERNATIONAL)",Levallois-Perret,,,Grand compte (GE) — cible transformation digitale,"Grand compte (GE) (commerce / distribution, 1 000 à 1 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Vincent Romet. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/542095336,api-entreprises:GE:commerce / distribution
MUTUELLE ASSURANCE TRAVAILLEUR MUTUALISTE (MATMUT),Rouen,,,Grand compte (GE) — cible transformation digitale,"Grand compte (GE) (banque / assurance, 5 000 à 9 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Valerie Fourneyron (Absire). ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/775701477,api-entreprises:GE:banque / assurance
COTE BOULANGE,Chateaurenard,,,Grand compte (GE) — cible transformation digitale,"Grand compte (GE) (industrie manufacturière, 2 000 à 4 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Louis-Pierre Pargoire. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/482340973,api-entreprises:GE:industrie manufacturière
INDIGO PARK,Puteaux,,,ETI (taille intermédiaire) — cible transformation digitale,"ETI (taille intermédiaire) (transport / logistique, 1 000 à 1 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Marie-Noelle De Percin. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/320229644,api-entreprises:GE:transport / logistique
SOGERES (SOGERES),Guyancourt,,,Grand compte (GE) — cible transformation digitale,"Grand compte (GE) (hôtellerie / restauration, 5 000 à 9 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Sophie Neron Berger (Berger). ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/572102176,api-entreprises:GE:hôtellerie / restauration
START PEOPLE,Saint-Julien-Les-Metz,,,ETI (taille intermédiaire) — cible transformation digitale,"ETI (taille intermédiaire) (immobilier, 1 000 à 1 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Damien Auger. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/339993164,api-entreprises:GE:immobilier
EVANCIA (BABILOU),Bois-Colombes,,,ETI (taille intermédiaire) — cible transformation digitale,"ETI (taille intermédiaire) (santé / médico-social, 2 000 à 4 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Stéphanie Baragnon (Bourdon). ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/447818600,api-entreprises:GE:santé / médico-social
MANPOWER FRANCE,Puteaux,,,Grand compte (GE) — cible transformation digitale,"Grand compte (GE) (services aux entreprises, 2 000 à 4 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Benoît Derigny. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/429955297,api-entreprises:GE:services aux entreprises
CARGLASS S.A.S. (CARGLASS PARE-BRISE COURBEVOIE),Courbevoie,,,Grand compte (GE) — cible transformation digitale,"Grand compte (GE) (commerce / distribution, 2 000 à 4 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Neil Rogers. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/425050556,api-entreprises:GE:commerce / distribution
MAAF ASSURANCES SA,Chauray,,,Grand compte (GE) — cible transformation digitale,"Grand compte (GE) (banque / assurance, 2 000 à 4 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Delphine Lemaire (Chauvat). ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/542073580,api-entreprises:GE:banque / assurance
HEIDELBERG MATERIALS FRANCE BETONS (HM FRANCE BETONS),Courbevoie,,,Grand compte (GE) — cible transformation digitale,"Grand compte (GE) (industrie manufacturière, 500 à 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Jean Block. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/642016166,api-entreprises:GE:industrie manufacturière
NWIE MET,Paris,,,ETI (taille intermédiaire) — cible transformation digitale,"ETI (taille intermédiaire) (transport / logistique, grand effectif) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Forvis Mazars Sa. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/898270251,api-entreprises:GE:transport / logistique
SODEXO ENTREPRISES,Guyancourt,,,Grand compte (GE) — cible transformation digitale,"Grand compte (GE) (hôtellerie / restauration, 5 000 à 9 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Sophie Neron Berger (Berger). ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/338253230,api-entreprises:GE:hôtellerie / restauration
SOCIETE D'EXPLOITATION AMIDIS ET COMPAGNIE,Mondeville,,,Grand compte (GE) — cible transformation digitale,"Grand compte (GE) (immobilier, grand effectif) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Concettina Schuler (Cordaro). ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/319730339,api-entreprises:GE:immobilier
LPCR GROUPE (LES PETITS CHAPERONS ROUGES),Saint-Ouen-Sur-Seine,,,Grand compte (GE) — cible transformation digitale,"Grand compte (GE) (santé / médico-social, 2 000 à 4 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Auditex. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/528570229,api-entreprises:GE:santé / médico-social
FIDUCIAL CONSULTING (FIDUCIAL CONSULTING) (FIDINFOR),Courbevoie,,,Grand compte (GE) — cible transformation digitale,"Grand compte (GE) (services aux entreprises, 1 000 à 1 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Fiducial. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/972200018,api-entreprises:GE:services aux entreprises
AMPLIFON FRANCE (CCAW),Paris,,,ETI (taille intermédiaire) — cible transformation digitale,"ETI (taille intermédiaire) (commerce / distribution, 1 000 à 1 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Jacopo Scandella. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/318083110,api-entreprises:GE:commerce / distribution
CAISSE D'EPARGNE ET DE PREVOYANCE ILE-DE-FRANCE (CEIDF),Paris,,,Grand compte (GE) — cible transformation digitale,"Grand compte (GE) (banque / assurance, 2 000 à 4 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Lorenza Barone. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/382900942,api-entreprises:GE:banque / assurance
BETON VICAT,L'Isle-D'Abeau,,,ETI (taille intermédiaire) — cible transformation digitale,"ETI (taille intermédiaire) (industrie manufacturière, 250 à 499 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Jean Bergouignan. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/309918464,api-entreprises:GE:industrie manufacturière
SNCF GARES & CONNEXIONS,Paris,,,Grand compte (GE) — cible transformation digitale,"Grand compte (GE) (transport / logistique, 2 000 à 4 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Alain Resplandy-Bernard (Bernard). ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/507523801,api-entreprises:GE:transport / logistique
SODEXO SANTE MEDICO SOCIAL (SFS),Guyancourt,,,Grand compte (GE) — cible transformation digitale,"Grand compte (GE) (hôtellerie / restauration, 5 000 à 9 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Hind Bendaoud. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/338253081,api-entreprises:GE:hôtellerie / restauration
LAMY,Paris,,,Grand compte (GE) — cible transformation digitale,"Grand compte (GE) (immobilier, 2 000 à 4 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Erwan Dupuy. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/487530099,api-entreprises:GE:immobilier
CENTRE D'ACTION SOCIALE DE LA VILLE DE PARIS (CASVP),Paris,,,Grand compte (GE) — cible transformation digitale,"Grand compte (GE) (santé / médico-social, 5 000 à 9 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/267500049,api-entreprises:GE:santé / médico-social
LOXAM,Caudan,,,ETI (taille intermédiaire) — cible transformation digitale,"ETI (taille intermédiaire) (services aux entreprises, 2 000 à 4 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Gerard Deprez. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/450776968,api-entreprises:GE:services aux entreprises
CHAUSSON MATERIAUX,Saint-Alban,,,ETI (taille intermédiaire) — cible transformation digitale,"ETI (taille intermédiaire) (commerce / distribution, 2 000 à 4 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Pierre-Georges Chausson. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/528648892,api-entreprises:GE:commerce / distribution
MACIF (SA),Niort,,,Grand compte (GE) — cible transformation digitale,"Grand compte (GE) (banque / assurance, 10 000 salariés et plus) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Marc Berenguel. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/781452511,api-entreprises:GE:banque / assurance
BOULANGERIES PAUL,Marcq-En-Barœul,,,ETI (taille intermédiaire) — cible transformation digitale,"ETI (taille intermédiaire) (industrie manufacturière, 500 à 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Francis Holder (Holder). ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/403052111,api-entreprises:GE:industrie manufacturière
SOCIETE NATIONALE SNCF (SNCF),Saint-Denis,,,Grand compte (GE) — cible transformation digitale,"Grand compte (GE) (transport / logistique, 10 000 salariés et plus) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Philippe Balducchi. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/552049447,api-entreprises:GE:transport / logistique
ADOMA,Paris,,,Grand compte (GE) — cible transformation digitale,"Grand compte (GE) (hôtellerie / restauration, 2 000 à 4 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Delphine Aubert. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/788058030,api-entreprises:GE:hôtellerie / restauration
CDC HABITAT,Paris,,,Grand compte (GE) — cible transformation digitale,"Grand compte (GE) (immobilier, 1 000 à 1 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Jean-Pierre Balligand. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/470801168,api-entreprises:GE:immobilier
CAISSE AUTONOME NATIONALE SECURITE SOCIALE MINES (CANSSM),Paris,,,ETI (taille intermédiaire) — cible transformation digitale,"ETI (taille intermédiaire) (santé / médico-social, 2 000 à 4 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/775685316,api-entreprises:GE:santé / médico-social
SYNERGIE,Boulogne Billancourt,,,ETI (taille intermédiaire) — cible transformation digitale,"ETI (taille intermédiaire) (services aux entreprises, 1 000 à 1 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Vera Cvijetic Boissier. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/329925010,api-entreprises:GE:services aux entreprises
DISTRIBUTION CASINO FRANCE (DCF),Saint-Etienne,,,Grand compte (GE) — cible transformation digitale,"Grand compte (GE) (commerce / distribution, 10 000 salariés et plus) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Magali Daubinet Salen (Salen). ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/428268023,api-entreprises:GE:commerce / distribution
CREDIT MUTUEL ARKEA,Le Relecq-Kerhuon,,,Grand compte (GE) — cible transformation digitale,"Grand compte (GE) (banque / assurance, 5 000 à 9 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Valérie Leroux (Barlois). ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/775577018,api-entreprises:GE:banque / assurance
EQIOM BETONS,Courbevoie,,,ETI (taille intermédiaire) — cible transformation digitale,"ETI (taille intermédiaire) (industrie manufacturière, 250 à 499 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Jean-Christophe Salek. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/945550549,api-entreprises:GE:industrie manufacturière
EFFIA STATIONNEMENT,Paris,,,Grand compte (GE) — cible transformation digitale,"Grand compte (GE) (transport / logistique, 500 à 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Jean-Michel Archambault. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/435272596,api-entreprises:GE:transport / logistique
ANSAMBLE,Vannes,,,Grand compte (GE) — cible transformation digitale,"Grand compte (GE) (hôtellerie / restauration, 2 000 à 4 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Patrice Morot. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/334159472,api-entreprises:GE:hôtellerie / restauration
NEXITY STUDEA,Saint-Ouen-Sur-Seine,,,Grand compte (GE) — cible transformation digitale,"Grand compte (GE) (immobilier, 250 à 499 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Pascal Pedoux. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/342090834,api-entreprises:GE:immobilier
ASSOCIATION AURORE,Paris,,,ETI (taille intermédiaire) — cible transformation digitale,"ETI (taille intermédiaire) (santé / médico-social, 2 000 à 4 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Pierre Abgrall. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/775684970,api-entreprises:GE:santé / médico-social
